,text,sentiment,transformed_text
740,Improviso alimenta mercado negro de fogos de artifício,0,improvis aliment merc negr fog artifici
741,Marcha branca e silenciosa para Santa Maria,0,march branc silenci sant mar
742,A lição de Buenos Aires ensina como interromper a contagem regressiva para outro massacre disfarçado de acidente,0,lica buen air ensin interromp cont regress outr massacr disfarc acid
743,Caminhada em Santa Maria lembra vítimas da tragédia,0,caminh sant mar lembr vit traged
744,Argentina destaca semelhanças com incêndio que deixou 194 mortos,0,argentin destac semelhanc incendi deix 194 mort
745,Justiça bloqueia bens dos donos da boate Kiss,0,jus bloque bem don boat kis
746,Defensoria Pública pede bloqueio de bens dos donos da boate Kiss,0,defens publ ped bloquei bem don boat kis
747,Santa Maria monta força-tarefa para enterrar vítimas,0,sant mar mont forc taref enterr vit
748,"Sobreviventes de tragédia em Santa Maria ainda correm risco de vida, dizem médicos",0,sobreviv traged sant mar aind corr risc vid diz medic
749,Universidade e bases militares são pilares de Santa Maria,0,univers bas milit pil sant mar
750,Principais provas da tragédia foram retiradas da boate Kiss,0,princip prov traged retir boat kis
751,Mais sete vítimas em estado grave vão para Porto Alegre,0,set vit est grav port alegr
752,"Em luto, UFSM suspende atividades até dia 1º",0,lut ufsm suspend ativ dia
753,Conheça as vítimas da tragédia em Santa Maria,0,conhec vit traged sant mar
754,Segundo sócio da boate Kiss se entrega à polícia,0,segund soci boat kis entreg polic
755,Fabrício Carpinejar falou por nós sobre a tragédia anunciada pela passagem das bestas que precedem nossos apocalipses,0,fabrici carpinej fal sobr traged anunci pass best preced apocalips
756,Tragédia em Santa Maria motiva mais de 1 milhão de mensagens no Twitter,0,traged sant mar motiv 1 milha mens twitt
757,Rodada adiada do Gauchão será no dia 13 de fevereiro,0,rod adi gaucha dia 13 fever
758,Médicos de Santa Maria entre o trabalho e a dor da perda de parentes,0,medic sant mar trabalh dor perd parent
759,Sócio da boate Kiss e dois integrantes da banda Gurizada Fandangueira são presos,0,soci boat kis doi integr band guriz fandangu pres
760,Lady Gaga posta foto rezando pelas vítimas de Santa Maria,0,lady gag post fot rez vit sant mar
761,Secretário-geral da ONU lamenta mortes em Santa Maria,0,secretari geral onu lament mort sant mar
762,Boate divulga nota oficial sobre tragédia em Santa Maria,0,boat divulg not ofic sobr traged sant mar
763,‘Que bom que tu tá vivo! Já contei 15 amigos que perdi hoje’,0,bom ta viv cont 15 amig perd hoj
764,O Brasil de luto por Santa Maria: 231 jovens mortos no incêndio da boate Kiss,0,lut sant mar 231 jov mort incendi boat kis
765,Alterações em projetos de boates são principal causa de acidentes,0,alteraco projet boat princip caus acid
766,Governo divulga lista com nomes de mortos da tragédia em Santa Maria,0,govern divulg list nom mort traged sant mar
767,"Em Santa Maria, 30 feridos respiram por aparelhos",0,sant mar 30 fer resp aparelh
768,A romaria das famílias rumo à cidade da tragédia,0,rom famil rum cidad traged
769,Nações manifestam solidariedade às vítimas da tragédia de Santa Maria,0,naco manifest solidariedad vit traged sant mar
770,Dilma Rousseff visita vítimas da tragédia em Santa Maria,0,dilm rousseff visit vit traged sant mar
771,"Alvará da boate Kiss estava vencido, afirmam bombeiros",0,alv boat kis venc afirm bomb
772,"Natural de Santa Maria, Beltrame divulga nota de pesar",0,natur sant mar beltram divulg not pes
773,Donos de boate de Santa Maria ainda não se apresentaram,0,don boat sant mar aind apresent
774,Fotógrafa da boate Kiss relata o pânico no momento das chamas,0,fotograf boat kis relat panic moment cham
775,Prefeitura de Santa Maria decreta luto de 30 dias,0,prefeit sant mar decret lut 30 dia
776,Vídeo mostra momentos seguintes ao incêndio em boate,0,vide mostr moment seguint incendi boat
777,"‘Ouvi uma menina gritar fogo e corri’, conta sobrevivente de incêndio",0,"ouv menin grit fog corr ', cont sobreviv incendi"
778,Tragédia em boate deixou 233 jovens mortos,0,traged boat deix 233 jov mort
779,Tragédia em Santa Maria,0,traged sant mar
780,Incêndio em boate deixa 245 mortos no Rio Grande do Sul,0,incendi boat deix 245 mort rio grand sul
781,Chuva alagou vila na zona norte do Rio,0,chuv alag vil zon nort rio
782,Sirenes marcam naufrágio do Costa Concordia,0,siren marc naufragi cost concord
783,Confirmada segunda morte causada pela chuva no Rio,0,confirm segund mort caus chuv rio
784,"Pessoas sem casa devido à chuva já somam 4,3 mil no Rio",0,pesso cas dev chuv som 4 3 rio
785,"Zeca Pagodinho, o sambista herói de Xerém",0,zec pagod samb hero xer
786,Acúmulo de lixo agravou enchente em Duque de Caxias,0,acumul lix agrav ench duqu cax
787,Alagamentos deixam 3.000 pessoas sem casa no Rio,0,alag deix 3 000 pesso cas rio
788,Previsão de chuva forte põe Região Serrana do Rio em alerta,0,previsa chuv fort poe regia serr rio alert
789,Catástrofes naturais custaram US$ 160 bilhões em 2012,0,catastrof natur cust us 160 bilho 2012
790,Costa do Marfim: Festa de Ano Novo acaba com 60 mortos,0,cost marfim fest ano nov acab 60 mort
791,Governo maquia orçamento de prevenção a desastres,0,govern maqu orc prevenca desastr
792,Obama chora ao falar de massacre em escola,0,obam chor fal massacr escol
793,Rio terá mais um verão com previsão de chuva imprecisa,0,rio vera previsa chuv imprecis
794,Rio vai enfrentar chuvas com centro de prevenção de desastres,0,rio enfrent chuv centr prevenca desastr
795,"EUA: após caos de Sandy, começa a reconstrução",0,eua apo cao sandy comec reconstruca
796,Avalanche deixa 11 mortos e 10 desaparecidos no Peru,0,avalanch deix 11 mort 10 desaparec peru
797,Quarenta anos do desastre aéreo nos Andes,0,quarent ano desastr aere and
798,Moradores de Petrópolis ignoram sirenes de alerta da chuva,0,mor petropolil ignor siren alert chuv
799,Avalanche mata nove alpinistas no Nepal,0,avalanch mat nov alpin nepal
800,Cruz Vermelha Brasileira troca presidente suspeito por outro indiciado em CPI,0,cruz vermelh troc presid suspeit outr indici cpi
801,Presidente da Cruz Vermelha destinava doações para conta no Maranhão,0,presid cruz vermelh destin doaco cont maranha
802,Funcionária que denunciou corrupção na Cruz Vermelha recebe ameaça de morte,0,funcion denunci corrupca cruz vermelh receb ameac mort
803,Cruz Vermelha abre auditoria para apurar desvio milionário,0,cruz vermelh abr audit apur desvi milionari
804,Dirigentes da Cruz Vermelha trocam acusações sobre desvio de recursos,0,dirig cruz vermelh troc acusaco sobr desvi recurs
805,MP detecta desvio milionário de doações à Cruz Vermelha,0,mp detect desvi milionari doaco cruz vermelh
806,Governo federal vai retomar busca por desaparecidos na serra do Rio,0,govern feder retom busc desaparec serr rio
807,Seis mexicanos morrem após colapso de mina de carvão,0,seil mexic morr apo colaps min carva
808,Inundações na Coreia do Norte já mataram 119 pessoas,0,inundaco core nort mat 119 pesso
809,Enchente mata pelo menos 150 no sul da Rússia,0,ench mat menos 150 sul russ
810,A força do maior terremoto já registrado na Terra,0,forc mai terremot registr terr
811,Síndico poderia ter evitado tragédia do Edifício Liberdade,0,sind pod ter evit traged edifici liberdad
812,Thor Batista é indiciado por homicídio culposo,0,th batist indici homicidi culp
813,PF faz buscas em gabinete de vereador acusado de compra de votos em Nova Friburgo,0,pf faz busc gabinet vere acus compr vot nov friburg
814,Peritos pedem ajuda de engenheiros da Mercedes-Benz para concluir perícia no carro de Thor Batista,0,perit ped ajud engenh merced benz conclu peric carr th batist
815,A maldição de Teresópolis: cidade devastada pelas chuvas mantém processo de destruição da natureza à sua volta,0,maldica teresopolil cidad devast chuv mant process destruica natur volt
816,"Em Teresópolis, enfim, terreno para construção de casas populares é liberado",0,teresopolil enfim terren construca cas popul liber
817,Chuvas devem prejudicar faturamento de hotéis no Rio,0,chuv dev prejudic fatur hotel rio
818,Teresópolis revive a tragédia das chuvas,0,teresopolil reviv traged chuv
819,Os estragos da tempestade em Teresópolis,0,estrag tempestad teresopolil
820,Chuva volta a castigar Teresópolis,0,chuv volt castig teresopolil
821,Operários confirmam derrubada de paredes estruturais do Edifício Liberdade,0,operari confirm derrub pared estrut edifici liberdad
822,Operário confirma à polícia que reforma eliminou pilares em edifício que desabou no Rio,0,operari confirm polic reform elimin pil edifici desab rio
823,Centro interativo revive tragédia do Titanic,0,centr inter reviv traged titanic
824,Terremoto na Cidade do México,0,terremot cidad mexic
825,Sarkozy chega a Toulouse após tragédia em escola judaica,0,sarkozy cheg toulous apo traged escol juda
826,Tragédia na Suíça: acidente de ônibus mata 22 crianças,0,traged suic acid onibu mat 22 crianc
827,Hopi Hari ficará fechado por mais dez dias,0,hop har fic fech dez dia
828,"Após tragédia, Federação anuncia cancelamento do Campeonato Egípcio",0,apo traged federaca anunc cancel campeonat egipci
829,Reconstrução de base na Antártida ocorrerá até 2018,0,reconstruca bas antart ocorr 2018
830,Hopi Hari: advogado de operador admite falha humana,0,hop har advog oper admit falh human
831,Tragédia no Congo,0,traged cong
832,EUA continuam buscas por vítimas; tornados já mataram 39,0,eua continu busc vit torn mat 39
833,Número de mortos em tornados nos EUA passa de 30,0,numer mort torn eua pass 30
834,Chile encontra corpo de brasileiro que caiu de vulcão,0,chil encontr corp caiu vulca
835,Tornados matam pelo menos treze pessoas nos EUA,0,torn mat menos trez pesso eua
836,Vídeo registra os últimos dias da estação antártica brasileira,0,vide registr ult dia estaca antar
837,Corpos de militares mortos na Antártida chegam ao Rio,0,corp milit mort antart cheg rio
838,Santa Teresa terá de esperar até 2014 pelo novo bonde,0,sant terês esper 2014 nov bond
839,Chuva deixa quatro mortos e um desaparecido em SP,0,chuv deix quatr mort desaparec sp
840,Van que atropelou onze em SP estava sem motorista,0,van atropel onz sp motor
841,Julgamento do caso Eloá,0,julg cas elo
842,Caso Eloá: julgamento começa nesta segunda-feira,0,cas elo julg comec nest segund feir
843,Grande Rio homenageará as mães de Realengo,0,grand rio homenage mae realeng
844,Prefeitura interdita prédio que desabou na Grande SP,0,prefeit interdit predi desab grand sp
845,Obra em prédio que desabou no Centro do Rio continua ‘órfã’,0,obr predi desab centr rio continu orf
846,Desabamento em São Bernardo do Campo,0,desab bernard camp
847,Desabamento parcial de prédio mata uma criança no ABC,0,desab parc predi mat crianc abc
848,História do Rio é um mar de equívocos,0,hist rio mar equivoc
849,"Governo federal libera R$ 2,3 milhões para Minas Gerais",0,govern feder lib r 2 3 milho min geral
850,Diretor da TO admite falta de responsável técnico em reforma,0,dire to admit falt responsa tecn reform
851,Empresa que fazia reforma em prédio desabado tenta culpar o terreno pela tragédia,0,empr faz reform predi desab tent culp terren traged
852,Rio criou e revogou lei para fiscalização de imóveis,0,rio cri revog lei fiscalizaca imovel
853,Neve na Europa 2012,0,nev europ 2012
854,"Depois do desabamento, corrida para regularizar obras",0,desab corr regular obr
855,Vítimas do desabamento terão acesso ao entulho,0,vit desab acess entulh
856,Vizinho ouviu ‘barulho extremamente forte’ na véspera do desabamento,0,vi ouv barulh extrem fort vesp desab
857,Conselho a Cabral,0,conselh cabr
858,Dinheiro soterrado,0,dinh soterr
859,O perigo mora na obra ao lado,0,perig mor obr lad
860,CREA convoca engenheiro responsável pelas obras no edifício Liberdade,0,cre convoc engenh responsa obr edifici liberdad
861,Cariocas acompanham final de semana de buscas,0,carioc acompanh final seman busc
862,Identificação de corpos depende de exame de DNA,0,identificaca corp depend exam dna
863,Bombeiros passam a procurar desaparecidos manualmente,0,bomb pass procur desaparec man
864,Bombeiros desconheciam outros pavimentos em prédio,0,bomb desconhec outr pav predi
865,Sobe para 17 o número de vítimas em tragédia no Rio,0,sob 17 numer vit traged rio
866,Administradora de empresas fez plantas de reforma de dois andares do Edifício Liberdade,0,administr empr fez plant reform doi and edifici liberdad
867,Delegado ouve síndico do Edifício Liberdade,0,deleg ouv sind edifici liberdad
868,Resgate das vítimas da tragédia está próximo do fim,0,resgat vit traged prox fim
869,Como e por que um prédio desaba,0,predi desab
870,Engenheiro nega alteração na estrutura do Edifício Liberdade,0,engenh neg alteraca estrut edifici liberdad
871,Síndico não pode ser figura decorativa,0,sind pod ser figur decor
872,Equipes de resgate encontram sexto corpo nos escombros,0,equip resgat encontr sext corp escombr
873,Zelador de edifício presta depoimento à polícia,0,zel edifici prest depo polic
874,Frente fria leva novas tempestades a Minas Gerais,0,frent fri lev nov tempestad min geral
875,Bombeiros retiram quinto corpo dos escombros,0,bomb ret quint corp escombr
876,Obra eliminou paredes do 3º andar no Edifício LIberdade,0,obr elimin pared 3o and edifici liberdad
877,Famílias mantêm esperança de encontrar sobreviventes,0,famil mant esperanc encontr sobreviv
878,Obra irregular é causa mais provável do desabamento,0,obr irregul caus prova desab
879,Três corpos encontrados em escombros no Rio,0,tre corp encontr escombr rio
880,Obras em prédio que desabou não tinham registro,0,obr predi desab registr
881,Encontrado primeiro corpo nos escombros de desabamento no Rio,0,encontr prim corp escombr desab rio
882,Avenidas na região do desabamento serão interditadas,0,aven regia desab interdit
883,Imagens exclusivas dos desabamentos,0,imag exclus desab
884,"‘Chances de encontrar sobreviventes nos escombros são muito pequenas’, diz secretário estadual de Defesa Civil",0,"chanc encontr sobreviv escombr pequen ', diz secretari estad defês civil"
885,Três prédios desabam no centro do Rio de Janeiro,0,tre predi desab centr rio jan
886,Pelo menos quinze pessoas estão desaparecidas,0,menos quinz pesso desaparec
887,Três prédios desabam no Centro do Rio,0,tre predi desab centr rio
888,Prédios desabam no centro do Rio  de Janeiro,0,predi desab centr rio jan
889,Seca deixa 312 municípios do RS em emergência,0,sec deix 312 municipi rs emergenc
890,Seca: Santa Catarina lança programa de prevenção,0,sec sant catarin lanc program prevenca
891,Cidades do Norte e do Noroeste fluminense atingidas pela chuva começam reconstrução,0,cidad nort noro flumin ating chuv comec reconstruca
892,Acidente com ônibus deixa um morto e 22 feridos em MG,0,acid onibu deix mort 22 fer mg
893,"Em Minas Gerais, comércio e turismo tentam recuperar perdas com a chuva",0,min geral comerci tur tent recuper perd chuv
894,"O melancólico anúncio de Sérgio Cabral: um ano depois da tragédia na serra, começa a contrução de casas",0,melancol anunci sergi cabr ano traged serr comec contruca cas
895,"Chuva não resolve seca no Sul, diz meteorologista",0,chuv resolv sec sul diz meteorolog
896,Aniversário da tragédia na Serra terá bolo de lama,0,aniversari traged serr bol lam
897,Mais de 50 mil pessoas saíram de suas casas em MG,0,50 pesso sair cas mg
898,Encontrada família soterrada dentro de Fusca,0,encontr famil soterr dentr fusc
899,"Das 170 áreas com alto risco de deslizamento na serra, só oito passaram por obras de recuperação de encosta",0,170 are alt risc desliz serr oit pass obr recuperaca encost
900,Cidades históricas enfrentam problemas de metrópole,0,cidad histor enfrent problem metropol
901,Dobra o número de desalojados e desabrigados em MG,0,dobr numer desaloj desabrig mg
902,Cientistas adiantam ‘relógio do apocalipse’,0,cient adiant relogi apocalips
903,Chuvas: o perigo que não está no mapa,0,chuv perig map
904,Governo do Rio anuncia investimento de 950 milhões em obras contra as enchentes,0,govern rio anunc invest 950 milho obr contr ench
905,Mais cinco corpos são localizados em Sapucaia (RJ),0,cinc corp local sapuca rj
906,Chuvas tiram mais de 13 mil pessoas de suas casas no Rio,0,chuv tir 13 pesso cas rio
907,Dique destruído em Cardoso Moreira não tem dono,0,diqu destru card mor don
908,Inundações em Belo Horizonte afetam interior mineiro,0,inundaco bel horizont afet interi min
909,"Bombeiros procuram corpos em deslizamento de terra em Sapucaia, no RJ",0,bomb procur corp desliz terr sapuca rj
910,Desmatamento e ocupação de margens de rios põem Norte e Noroeste no mapa de áreas de risco do Rio,0,desmat ocupaca marg rio po nort noro map are risc rio
911,Previsão é de chuva forte para o Norte e o Noroeste fluminense,0,previsa chuv fort nort noro flumin
912,Inundação em Campos: rios que passam por Minas Gerais estão fora de controle,0,inundaca camp rio pass min geral control
913,Chile confirma mais seis mortes em incêndios florestais,0,chil confirm seil mort incendi florest
914,"Em Campos, o bairro que virou mar",0,camp bairr vir mar
915,Rompimento de dique em Campos obriga prefeitura a evacuar bairro com 4 mil pessoas,0,romp diqu camp obrig prefeit evacu bairr 4 pesso
916,Inundações avançam nas regiões norte e noroeste do Rio,0,inundaco avanc regio nort noro rio
917,Região serrana do Rio terá que esperar mais um ano pela reconstrução,0,regia serr rio esper ano reconstruca
918,Rio de Janeiro tem 4 mil desalojados e desabrigados,0,rio jan 4 desaloj desabrig
919,"Na pequena Laje do Muriaé, 25% dos moradores estão desalojados",0,pequen laj muria 25 mor desaloj
920,"Chuva deixa moradores ilhados em Santo Antônio de Pádua, no noroeste fluminense",0,chuv deix mor ilh sant antoni padu noro flumin
921,Chuvas: cinco mortos em Minas Gerais,0,chuv cinc mort min geral
922,Chuva deixa 12 cidades do Rio em alerta máximo,0,chuv deix 12 cidad rio alert max
923,MG tem quatro mortos pelas chuvas. Mau tempo persiste,0,mg quatr mort chuv mau temp pers
924,Deslizamentos de terra ameaçam Nova Friburgo,0,desliz terr ameac nov friburg
925,Região serrana do Rio está em alerta após temporais,0,regia serr rio alert apo tempor
926,Cidades devastadas pela chuva não usaram verba para conter a tragédia,0,cidad devast chuv us verb cont traged
927,Corpos de naufrágio na Indonésia são resgatados,0,corp naufragi indones resgat
928,Já são 21 as cidades que decretaram emergência em MG,0,21 cidad decret emergenc mg
929,"Até agora, MG tem 19 cidades em estado de emergência",0,agor mg 19 cidad est emergenc
930,Catástrofes provocaram perdas de US$ 350 bilhões em 2011,0,catastrof provoc perd us 350 bilho 2011
931,Prefeito de Niterói é multado por descumprir ordem para remover famílias em áreas de risco,0,prefeit nitero mult descumpr ord remov famil are risc
932,TCU vai investigar uso de verbas da União nas cidades atingidas pela chuva no Rio,0,tcu investig uso verb unia cidad ating chuv rio
933,"MP alerta: em Petrópolis, nada foi feito para evitar nova tragédia com a chuva",0,mp alert petropolil nad feit evit nov traged chuv
934,Chega ao Brasil 1º corpo de brasileiro vítima do AF 447,0,cheg corp vit af 447
935,"‘Prefeitos na Serra e ministros no Cerrado’, um texto de Fernando Gabeira",0,"prefeit serr ministr cerr ', text fern gab"
936,Bondes que o governo do Rio quer comprar vão custar 5 vezes mais,0,bond govern rio qu compr cust 5 vez
937,"Sem prefeito e sem dinheiro, Teresópolis vai enfrentar temporais ainda em reconstrução",0,prefeit dinh teresopolil enfrent tempor aind reconstruca
938,Tragédia com Fokker 100 da TAM completa quinze anos,0,traged fokk 100 tam complet quinz ano
939,"Em São Francisco, sistema de bondes foi reconstruído",0,francisc sistem bond reconstru
940,Bondes reformados receberam suspensão de trem,0,bond reform receb suspensa tr
941,"Para consertar o bonde, tem que quebrar Santa Teresa",0,consert bond quebr sant terês
942,Cidades brasileiras enfrentam o verão despreparadas para as chuvas,0,cidad enfrent vera desprepar chuv
943,Polícia ouvirá representantes de empresa de gás,0,polic ouv represent empr ga
944,Morre mais uma vítima de explosão em restaurante do Rio,0,morr vit explosa restaurant rio
945,Chuvas ameaçam Nova Friburgo com nova tragédia,0,chuv ameac nov friburg nov traged
946,Dono de restaurante que explodiu está envolvido em nova suspeita,0,don restaurant explod envolv nov suspeit
947,Dono do Filé Carioca culpa empresa de gás por explosão em restaurante,0,don fil carioc culp empr ga explosa restaurant
948,"Depois da tragédia, bombeiros vão fiscalizar restaurantes",0,traged bomb fiscal restaurant
949,A Praça Tiradentes de luto: comerciantes ainda não sabem quando poderão voltar ao trabalho,0,prac tirad lut comerci aind sab podera volt trabalh
950,Vazamento de gás: ventilação é a palavra de ordem,0,vaz ga ventilaca palavr ord
951,Filé Carioca teve problema de exaustão em 2010,0,fil carioc problem exausta 2010
952,Restaurante que explodiu no centro do Rio passa por nova vistoria,0,restaurant explod centr rio pass nov vist
953,"Prédios do Rio Antigo em perigo: falta de manutenção é origem de 95% dos acidentes, alerta presidente do Crea-RJ",0,predi rio antig perig falt manutenca orig 95 acid alert presid cre rj
954,Restaurante que explodiu estava prestes a perder licença,0,restaurant explod prest perd licenc
955,Estoque ilegal de gás causou explosão no centro do Rio,0,estoqu ileg ga caus explosa centr rio
956,Funcionário diz que havia seis botijões no subsolo do Filé Carioca,0,funcionari diz hav seil botijo subsol fil carioc
957,Comerciantes ainda tentam estimar prejuízo na Praça Tiradentes,0,comerci aind tent estim prejuiz prac tirad
958,Manhã de pânico no hotel: “Vi pessoas mortas na praça”,0,manh panic hotel vi pesso mort prac
959,"Restaurante não tinha autorização para usar botijões, informa o Corpo de Bombeiros",0,restaurant autorizaca us botijo inform corp bomb
960,Sobreviventes e famílias de vítimas de massacre visitam ilha,0,sobreviv famil vit massacr visit ilh
961,Santa Teresa completa um mês sem bondes,0,sant terês complet me bond
962,"Santa Teresa, um mês sem bondes",0,sant terês me bond
963,Auxiliar de voo em tragédia russa de junho estava bêbado,0,auxili voo traged russ junh beb
964,"Prefeitos de cidades serranas construíram, ano a ano, a tragédia com mil mortos de 2011",0,prefeit cidad serr constru ano ano traged mort 2011
965,Mais de 150.000 estão sem abrigo próprio,0,150 000 abrig propri
966,Bebê nasce em meio à enchente,0,beb nasc mei ench
967,Sobe para 91 o número de municípios atingidos,0,sob 91 numer municipi ating
968,Chuvas matam três e afetam mais de 800.000 pessoas,0,chuv mat tre afet 800 000 pesso
969,MP cobra medidas imediatas contra chuvas em Friburgo,0,mp cobr med imediat contr chuv friburg
970,Morre a 6ª  vítima do acidente com bonde de Santa Teresa,0,morr 6a vit acid bond sant terês
971,Chile: avião se desintegrou ao chocar-se com o mar,0,chil avia desintegr choc mar
972,Passageiros de helicóptero desaparecido são encontrados,0,passag helicopter desaparec encontr
973,OAB e Associação de Moradores cobram assistência às vítimas da tragédia com bonde em Santa Teresa,0,oab associaca mor cobr assistenc vit traged bond sant terês
974,Interventor quer ligar bondes de Santa Teresa ao trem do Corcovado,0,interven qu lig bond sant terês tr corcov
975,"Cabral, enfim, admite sucateamento e falha na gestão dos bondes de Santa Teresa",0,cabr enfim admit sucate falh gesta bond sant terês
976,Governo do Rio já tem os culpados do bonde: os mortos e feridos,0,govern rio culp bond mort fer
977,Bonde acumula idas à oficina por falhas no sistema de freio,0,bond acumul ida oficin falh sistem frei
978,Entra quem quer: garagem dos bondes em Santa Teresa não tem vigilância,0,entr qu gar bond sant terês vigilanc
979,Bonde deveria ter seguido para garagem após colisão com ônibus,0,bond dev ter segu gar apo colisa onibu
980,Estado exonera ex-chefe da Lei Seca que atropelou e matou em Niterói,0,est exon ex chef lei sec atropel mat nitero
981,Falta de manutenção e descaso se acumulam na linha do bonde de Santa Teresa. Só o estado não viu,0,falt manutenca descas acumul linh bond sant terês est viu
982,Falta de manutenção: o perigo ao longo dos trilhos do Bonde de Santa Teresa,0,falt manutenca perig long trilh bond sant terês
983,Defesa do atropelador de Rafael Mascarenhas prepara enxurrada de recursos para adiar julgamento,0,defês atropel rafael mascarenh prepar enxurr recurs adi julg
984,Cidades serranas terão de esclarecer destino das verbas,0,cidad serr esclarec destin verb
985,"Crea alerta para nova catástrofe na região serrana do Rio, com a chegada das chuvas",0,cre alert nov catastrof regia serr rio cheg chuv
986,Casal em lua de mel morre afogado em Porto de Galinhas,0,casal lua mel morr afog port gal
987,Cidades afetadas por catástrofes receberão R$ 30 milhões,0,cidad afet catastrof recebera r 30 milho
988,Já são 29 as cidades que imploram por socorro,0,29 cidad implor socorr
989,Prefeito de Teresópolis é afastado por 90 dias,0,prefeit teresopolil afast 90 dia
990,Novas revelações sobre o voo Rio-Paris da Air France,0,nov revelaco sobr voo rio paril air franc
991,Erros dos pilotos provocaram queda voo 447 da Air France,0,err pilot provoc qued voo 447 air franc
992,Chile registra piores nevascas dos últimos 30 anos,0,chil registr pi nevasc ult 30 ano
993,Cissa vai à missa do filho de mãos dadas com o neto,0,ciss miss filh mao dad net
994,Empreiteira sob suspeita em Teresópolis também usaria laranjas,0,empreit sob suspeit teresopolil us laranj
995,MPF pedirá 12 anos de prisão aos acusados do caso TAM,0,mpf ped 12 ano prisa acus cas tam
996,Governo estadual adota código de ética federal,0,govern estad adot codig etic feder
997,Tragédia na Bahia expõe ligações delicadas de Sérgio Cabral,0,traged bah expo ligaco delic sergi cabr
998,Japão reforça busca por desaparecidos durante tsunami,0,japa reforc busc desaparec dur tsunam
999,Nova Zelândia sofre mais de 30 réplicas de terremoto,0,nov zeland sofr 30 repl terremot
1000,Terremoto atinge novamente cidade da Nova Zelândia,0,terremot ating nov cidad nov zeland
1001,Barack Obama visita cidade devastada por tornado,0,barack obam visit cidad devast torn
1002,Fukushima: operários entram pela primeira vez no reator 2,0,fukush operari entr prim vez rea 2
1003,Aumenta o temor sobre situação na usina de Fukushima,0,aument tem sobr situaca usin fukush
1004,Japão para por 1 minuto para lembrar 2 meses do tsunami,0,japa 1 minut lembr 2 mes tsunam
1005,Acidente a 190 km/h mata dois jovens na Ponte Rio-Niterói,0,acid 190 km h mat doi jov pont rio nitero
1006,Avião cai no mar e mata 27 pessoas na Indonésia,0,avia cai mar mat 27 pesso indones
1007,Asteroide gigantesco se aproxima da Terra,0,asteroid gigant aprox terr
1008,"Air France é condenada a pagar 1,6 milhão de reais a família de vítima",0,air franc conden pag 1 6 milha real famil vit
1009,"Após 25 anos, Chernobyl ainda é perigo para meio ambiente",0,apo 25 ano chernobyl aind perig mei ambi
1010,Papa vai doar ofertas de fiéis ao Japão,0,pap do ofert fiel japa
1011,Ministério da Cretinice,0,ministeri cretin
1012,O testemunho e a indignação de uma leitora,0,testemunh indignaca leit
1013,"Em vídeo, assassino volta a falar com uns tais “irmãos”… Loucura? Contato com extremistas?",0,"vide assassin volt fal um tal irma ""... louc contat extrem"
1014,Corpo de vítima de tsunami é encontrado na costa dos Estados Unidos,0,corp vit tsunam encontr cost est unid
1015,Prendam os homens de bem e soltem os bandidos! Com as bênçãos de Paulo Sérgio Pinheiro!,0,prend hom bem solt band benca paul sergi pinh
1016,Oportunistas fazem politicagem com 12 crianças mortas,0,oportun faz politic 12 crianc mort
1017,Esta era a cara de “Wellington Treze”  pouco antes da tragédia; eventual vínculo com terrorismo será investigado,0,car wellington trez pouc ant traged event vincul terror investig
1018,Viva Rio tem de dizer o que pensa sobre espinhela caída e unha encravada,0,viv rio diz pens sobr espinhel caid unh encrav
1019,Ministério da Justiça antecipa campanha de desarmamento,0,ministeri jus antecip campanh desarm
1020,A OAB que quer punir o cidadão de bem é leniente com desídia do Estado,0,oab qu pun cidada bem leni desid est
1021,Presidente da OAB do Rio decide apoiar idéia estúpida de Sarney,0,presid oab rio decid apoi ide estup sarney
1022,"É PRECISO INVESTIGAR, SIM, SE ASSASSINO DO RIO TINHA VÍNCULO COM TERRORISMO ISLÂMICO",0,precis investig sim assassin rio vincul terror islam
1023,Bandeiras lembram vítimas de atirador em colégio,0,bande lembr vit atir colegi
1024,Metade das vítimas do tsunami tinha mais de 65 anos,0,metad vit tsunam 65 ano
1025,"Após massacre em Realengo, alunos vão ‘reinventar’ escola",0,apo massacr realeng alun reinvent escol
1026,Estadão entra na campanha do desarmamento; lamento é que invista na confusão,0,estada entr campanh desarm lament invist confusa
1027,"A entrevista “pingue-pingue” em que Cardozo tenta fazer a tragédia do Rio “iluminar” e “contribuir”. Vai ver o assassino era, então, um iluminista!",0,"entrev ping ping cardoz tent faz traged rio ilumin contribu "". ver assassin enta ilumin"
1028,O debate sobre o “bullying” está  todo atrapalhado,0,debat sobr bullying tod atrapalh
1029,Sob o signo da estupidez. Ou: Abaixo os “Salvadores de Homens”,0,sob sign estupid abaix salv hom
1030,As armas usadas pelo psicopata,0,arm us psicopat
1031,"Eles odeiam indivíduos e, no fundo, passam a mão na cabeça dos assassinos. A culpa seria do homem comum!",0,ode individu fund pass mao cabec assassin culp hom comum
1032,Agora é Sarney a pregar a “proibição total da venda de armas”; Maranhão é o estado em que índice de homicídios mais cresceu. Seria por causa da “venda legal” de armas?,0,"agor sarney preg proibica total vend arm ""; maranha est indic homicidi cresc caus vend legal arm"
1033,"Sem comentários – Ao lado de Dilma, Bono puxa oração em homenagem aos mortos no Rio",0,comentari lad dilm bon pux oraca homen mort rio
